"trans","origin"
"久旱无雨，桑树枝都长不出叶子来，地面异常干燥，尘土飞扬，土地好像要生烟燃烧；龙王庙前，人们敲锣打鼓，祈求龙王普降甘霖。","桑条无叶土生烟，箫管迎龙水庙前。"
"而富贵人家却处处观赏歌舞，还怕春天的阴雨使管弦乐器受潮而发不出清脆悦耳的声音。","朱门几处看歌舞，犹恐春阴咽管弦。"
"五月，松下的茅草亭里却凉爽宜人，白沙覆盖的汀洲和远处的繁茂树林融入了暮色，呈现出一片苍苍茫茫。","松下茅亭五月凉，汀沙云树晚苍苍。"
"路上的行人兴起了无限的思乡之情，此处的青山绿水也仿佛是自己的故乡了。","行人无限秋风思，隔水青山似故乡。"
"在木兰为桨沙棠为舟的船上，箫管之乐在船的两头吹奏着。","木兰之枻沙棠舟，玉箫金管坐两头。"
"船中载着千斛美酒和美艳的歌妓，任凭它在江中随波逐流。","美酒樽中置千斛，载妓随波任去留。"
"黄鹤楼上的仙人还有待于乘黄鹤而仙去，而我这个海客却毫无机心地与白鸥狎游。","仙人有待乘黄鹤，海客无心随白鸥。"
"屈原的词赋至今仍与日月并悬，而楚王建台榭的山丘之上如今已空无一物了。","屈平辞赋悬日月，楚王台榭空山丘。"
"我兴酣之时，落笔可摇动五岳，诗成之后，啸傲之声，直凌越沧海。","兴酣落笔摇五岳，诗成笑傲凌沧洲。"
"功名富贵若能常在，汉水恐怕就要西北倒流了。","功名富贵若长在，汉水亦应西北流。"
"帝王之都，到处月光如水，花灯如山， 装饰华丽的香艳的马车堵塞了宽敞大道。","月色灯山满帝都，香车宝盖隘通衢。"
"身处闲暇却无缘目睹中兴之年元宵盛况， 只得带着羞惭随着老乡去观看迎接紫姑神的庙会。","身闲不睹中兴盛，羞逐乡人赛紫姑。"
"天上的浮云不能与此山平齐，山峦云雾苍苍远望反更迷离。","浮云不共此山齐，山霭苍苍望转迷。"
"拂晓弯月暂时飞隐到高树里，秋夜的银河远隔在数峰以西。","晓月暂飞高树里，秋河隔在数峰西。"
"岭南道中溪流纵横交错，地势迂回曲折，置身其间，茫然不知身在何处。沿途随处可见高大的乔木，绿树丛阴下，溪流显得格外幽深。","岭水争分路转迷，桄榔椰叶暗蛮溪。"
"我在旅途中提心吊胆，担心遇上毒雾，碰着蛇草；为了躲避沙虫，看见燕子衔泥也会急忙让开。","愁冲毒雾逢蛇草，畏落沙虫避燕泥。"
"这里的风俗很特别，五月即收稻米，三更公鸡就打鸣，每当涨潮，它还会按时啼叫，这时津吏就会通知乡民潮汛要来了。","五月畲田收火米，三更津吏报潮鸡。"
"这一切让人一时难以适应，看着那鲜艳欲滴的红槿花，听着那树上越鸟的鸣叫，想到想起家乡，这谪居岁月何时是个尽头，想起这些真是肝肠寸断。","不堪肠断思乡处，红槿花中越鸟啼。"
"去年看菊花我和您告别，今年听到蝉叫我又返回。","昔看黄菊与君别，今听玄蝉我却回。"
"五更的风声飕飗枕上觉，一年的颜状变化镜中来。","五夜飕飗枕前觉，一年颜状镜中来。"
"战马思念边草拳毛抖动，大雕顾盼青云睡眼睁开。","马思边草拳毛动，雕眄青云睡眼开。"
"秋高气爽正好极目远望，我为您抱着病登上高台。","天地肃清堪四望，为君扶病上高台。"
"六月的火焰山更是灼热，赤亭道口怕要行人断绝。","火山六月应更热，赤亭道口行人绝。"
"知道您经常度越祁连城，哪里会害怕见到轮台月。","知君惯度祁连城，岂能愁见轮台月。"
"请您下马暂进入酒家垆，送您到万里之外西击胡。","脱鞍暂入酒家垆，送君万里西击胡。"
"功名富贵只向马上求取，您真是一位英雄大丈夫。","功名祗向马上取，真是英雄一丈夫。"
"日光洒在纱窗上，微风拂过，窗子轻轻摇动。空旷的屋子里，独自以罗帕拭手，窗外春将近，花事了。","日射纱窗风撼扉，香罗拭手春事违。"
"步入院中，回廊四合，寂寞涌现。孤单一人无伴，只见蔷薇花开灿烂，只闻鹦鹉学舌之声。而蔷薇谢后，春天也就过去了，正如青春流逝，无可奈何；只闻鹦鹉之声，却不见当年之人。","回廊四合掩寂寞，碧鹦鹉对红蔷薇。"
"君主追求淫逸，将国计民生的大事看得很轻。结果，兵变作乱。","君王游乐万机轻，一曲霓裳四海兵。"
"帝后升天，惟有千年长生树仍直直地长在那里。","玉辇升天人已尽，故宫犹有树长生。"
"山石峥嵘险峭，山路狭窄像羊肠，蝙蝠穿飞的黄昏，来到这座庙堂。","山石荦确行径微，黄昏到寺蝙蝠飞。"
"登上庙堂坐台阶，刚下透雨一场，经雨芭蕉枝粗叶大，山栀更肥壮。","升堂坐阶新雨足，芭蕉叶大栀子肥。"
"僧人告诉我说，古壁佛画真堂皇，用火把照看，迷迷糊糊看不清爽。","僧言古壁佛画好，以火来照所见稀。"
"为我铺好床席，又准备米饭菜汤，饭菜虽粗糙，却够填饱我的饥肠。","铺床拂席置羹饭，疏粝亦足饱我饥。"
"夜深清静好睡觉，百虫停止吵嚷，明月爬上了山头，清辉泻入门窗。","夜深静卧百虫绝，清月出岭光入扉。"
"天明我独自离去，无法辨清路向，出入雾霭之中，我上下摸索踉跄。","天明独去无道路，出入高下穷烟霏。"
"山花鲜红涧水碧绿，光泽又艳繁，时见松栎粗大十围，郁郁又苍苍。","山红涧碧纷烂漫，时见松枥皆十围。"
"遇到涧流当道，光着脚板踏石淌，水声激激风飘飘，掀起我的衣裳。","当流赤足踏涧石，水声激激风吹衣。"
"人生在世能如此，也应自得其乐，何必受到约束，宛若被套上马缰？","人生如此自可乐，岂必局束为人鞿？"
"唉呀，我那几个情投意合的伙伴，怎么能到年老，还不再返回故乡？","嗟哉吾党二三子，安得至老不更归。"
"去年在桑干源打仗，今年转战葱河河畔。","去年战，桑干源，今年战，葱河道。"
"曾经在条支海中洗过兵器上的污秽，也在天山草原上牧放过疲惫的战马。","洗兵条支海上波，放马天山雪中草。"
"秦朝的筑城备胡之处，汉朝依然有烽火在燃烧。","秦家筑城避胡处，汉家还有烽火燃。"
"还在溪上航行，就已听到寺庙的悠悠钟声。停船拾阶而上，山路蜿蜒穿越着秘密松林。","溪上遥闻精舍钟，泊舟微径度深松。"
"雨后初晴，山色青翠，白云悠悠飘荡。眺望西南，四五青峰，更加郁郁葱葱，犹若刚刚画成。","青山霁后云犹在，画出东南四五峰。"
"五老峰坐落于庐山的东南，耸立如青天削出，就像一朵盛开的金色莲花。","庐山东南五老峰，青天削出金芙蓉。"
"登上峰顶可以揽取九江的秀丽景色，我将在这里巢居于云松。","九江秀色可揽结，吾将此地巢云松。"
"今天是三月三十日，是三月的最后一天，春天美丽的风光就有离开我这位苦吟诗人了。","三月正当三十日，风光别我苦吟身。"
"我和你今夜不用睡觉了，在晨钟响动之前，总算还是春天吧。","共君今夜不须睡，未到晓钟犹是春。"
"十岁就能够即席作诗，酒宴上的蜡烛烧残了大半，烛芯的灰烬也冷却了。送别的筵宴已近尾声，在座的人触动离情。","十岁裁诗走马成，冷灰残烛动离情。"
"遥远的丹山道上，美丽的桐花覆盖遍野，丹山路上不时传来雏凤清脆圆润的鸣声，应和着老凤苍亮的呼叫，显得更为悦耳动听。","桐花万里丹山路，雏凤清于老凤声。"
"鹤借助风力飞入青天自由翱翔，鹅却命运不济被迫和鸭子为伍。","君因风送入青云，我被人驱向鸭群。"
"我鹅长有雪白的脖颈、洁白的羽毛和红红的脚掌，哪一点比不上鹤？","雪颈霜毛红网掌，请看何处不如君？"
"曾经的歌台，曾经的舞榭，曾经的园林，曾经的宫殿，如今都已经荒废，只有杨柳叶儿青青，还有那湖中的采菱女在清唱着青春永恒的歌谣。","旧苑荒台杨柳新，菱歌清唱不胜春。"
"谁还记得吴王夫差的事儿呢？只有那城西河中的明月，曾经照耀过吴王宫殿，照耀过在宫中灯红酒绿的人。","只今惟有西江月，曾照吴王宫里人。"
"水国的天气带着初春的寒意，忽晴忽阴，忽好忽坏；在这春风乍起的日子，我所乘的船停泊在苏州城外。","春风倚棹阖闾城，水国春寒阴复晴。"
"蒙蒙细雨润湿了衣服，自己却没有注意到；枝上的花朵飘落到地上，听不到声响。","细雨湿衣看不见，闲花落地听无声。"
"薄暮夕阳下，江上孤帆远去；太湖之南碧草如茵，绵延万里。","日斜江上孤帆影，草绿湖南万里情。"
"或许有朋友会问到我的境遇，请转告他们，我这个一介书生，命途多舛，已被“青袍”所误。","东道若逢相识问，青袍今已误儒生。"
"今年外出游玩的时候，自己独自来到了长安，没有朋友同游心中带着春愁来看春天，没有了春天的感觉。","今年游寓独游秦，愁思看春不当春。"
"上林苑中的花白白地开放了，细柳营前的柳叶也徒有新芽。","上林苑里花徒发，细柳营前叶漫新。"
"朋友们这时在南桥应该玩得正是尽兴，将军府里朋友们欢聚都不愿散去。","公子南桥应尽兴，将军西第几留宾。"
"我在这里向着遥远的洛阳，对着春天的景物说，等我和朋友再相聚的时候明年的春天一定要加倍地还给我一个更美的春色啊！","寄语洛城风日道，明年春色倍还人。"
"圣女祠的白石门边长满碧绿的苔藓，从上清仙境谪落此地迟迟未得回还。","白石岩扉碧藓滋，上清沦谪得归迟。"
"春天里蒙蒙细雨常洒向大殿的青瓦，整日里神风微弱吹不动祠中的旗幡。","一春梦雨常飘瓦，尽日灵风不满旗。"
"萼绿华自由自在说来就来居无定所，杜兰香青童接驾说走就走立时归返。","萼绿华来无定所，杜兰香去未移时。"
"玉郎与圣女相会于此并给通报仙籍，圣女想一起登天阶服紫芝位列众仙。","玉郎会此通仙籍，忆向天阶问紫芝。"
"扬州的少女们无忧无虑，笑脸迎人，娇美的脸上怎能藏住眼泪，她们可爱的眉梢上所挂的一点忧愁也容易被人察觉。","萧娘脸薄难胜泪，桃叶眉尖易得愁。"
"天下明月的光华有三分吧，可爱的扬州啊，你竟然占去了两分。","天下三分明月夜，二分无赖是扬州。"
"春天青草丛生，绿柳抽芽，桃花挂在枝头丛丛点缀，李子花的香味飘得远远都是。","草色青青柳色黄，桃花历乱李花香。"
"（但是在这样生机盎然的春天），春风依然不能为我吹散烦恼忧愁，我的愁思怨恨偏偏在这春天一直滋长。","东风不为吹愁去，春日偏能惹恨长。"
"天上的浮云不能与此山平齐，山峦云雾苍苍远望反更迷离。","浮云不共此山齐，山霭苍苍望转迷。"
"拂晓弯月暂时飞隐到高树里，秋夜的银河远隔在数峰以西。","晓月暂飞高树里，秋河隔在数峰西。"
"环曲的池塘水面，雨水像在抽丝一般密织，野禽因为雨势太大无法起飞，鱼儿却惊得在水面飞跃起来。","回塘雨脚如缫丝，野禽不起沈鱼飞。"
"耕种的人和垂钓者都来不及取蓑衣和斗笠，秋季的田地都多么期待这么一场酣畅淋漓的大雨啊。","耕蓑钓笠取未暇，秋田有望从淋漓。"
"我独自坐在山间的岩石上，看见前面浓密的乌云含着雨水喷洒在前方的山峦上，而此却依然阳光灿烂。","坐看黑云衔猛雨，喷洒前山此独晴。"
"我正悠然欣赏大自然这一奇观时，忽然大吃一惊——滚滚的乌云挟带着狂风骤雨，已泻到了我的头上！不过我却意外地发现：前山青翠的山峰上，还是映照着一抹夕阳的余晖！","忽惊云雨在头上，却是山前晚照明。"
"一双幽暗的松树在尘世出现，数粒稚嫩而翠绿的小松初生的枝叶挂在二尺高的松树上。","一双幽色出凡尘，数粒秋烟二尺鳞。"
"从此静静的书窗外可以听这细微的松声，如琴声一般常伴着读书人。","从此静窗闻细韵，琴声长伴读书人。"
"贾谊被贬在此地居住三年，可悲遭遇千万代令人伤情。","三年谪宦此栖迟，万古惟留楚客悲。"
"我在秋草中寻觅人迹不在，寒林里空见夕阳缓缓斜倾。","秋草独寻人去后，寒林空见日斜时。"
"汉文帝重才恩德尚且淡薄，湘江水无意凭吊有谁知情？","汉文有道恩犹薄，湘水无情吊岂知。"
"寂寞冷落深山里落叶纷纷，可怜你不知因何天涯飘零？","寂寂江山摇落处，怜君何事到天涯。"
"祖居少陵的野老（杜甫自称）无声地痛哭，春天偷偷地来到了曲江边。","少陵野老吞声哭，春日潜行曲江曲。"
"江岸的宫殿千门闭锁，细细的柳丝和新生的水蒲为谁而绿？","江头宫殿锁千门，细柳新蒲为谁绿？"
"回忆当初皇帝的彩旗仪仗下了南苑，苑里的万物都生出光辉。","忆昔霓旌下南苑，苑中万物生颜色。"
"昭阳殿里的第一美人也同车出游，随侍在皇帝身旁。","昭阳殿里第一人，同辇随君侍君侧。"
"车前的宫中女官带着弓箭，白马套着带嚼子的黄金马勒。","辇前才人带弓箭，白马嚼啮黄金勒。"
"翻身朝天上的云层射去，一笑之间双飞的一对鸟儿便坠落在地。","翻身向天仰射云，一笑正坠双飞翼。"
"杨贵妃明亮的眼睛和洁白的牙齿在哪里呢？鲜血玷污了她的游魂，再也不能归来！","明眸皓齿今何在？血污游魂归不得。"
"清清的渭水向东流去，而玄宗所在的剑阁是那么深远。走的和留下的彼此没有消息。","清渭东流剑阁深，去住彼此无消息。"
"人生有情，泪水沾湿了胸臆，江水的流淌和江花的开放哪里会有尽头呢？","人生有情泪沾臆，江水江花岂终极！"
"黄昏时，胡骑扬起满城的尘土，我想去城南，却望着城北。 ","黄昏胡骑尘满城，欲往城南望城北。"
"冰雪融尽，入侵的胡兵已经悄然返还。月光皎洁，悠扬的笛声回荡在戍楼间。","雪净胡天牧马还，月明羌笛戍楼间。"
"试问饱含离情的《梅花曲》飘向何处？它仿佛像梅花一样随风落满了关山。","借问梅花何处落，风吹一夜满关山。"
"旅舍中春残夜雨刚刚晴，恍然间心里忆起长安城。","旅舍残春宿雨晴，恍然心地忆咸京。"
"树枝中蜂拥蝶舞花将落，水面上风起柳絮飘飘行。","树头蜂抱花须落，池面鱼吹柳絮行。"
"借写诗杆情因悟禅语止，用酒冲愁阵如同出奇兵。","禅伏诗魔归净域，酒冲愁阵出奇兵。"
"保存好官帽不要遭污损，擦拭净朝簪等待唐复兴。","两梁免被尘埃污，拂拭朝簪待眼明。"
"官场上的失意和寄居他乡的忧思一起涌上心头，阳春二月的景象也好像到了寒秋一样，令人心意凄迷。","宦情羁思共凄凄，春半如秋意转迷。"
"山城的雨后，百花凋零。榕树叶落满庭院，黄莺的啼叫也显得十分嘈杂。","山城过雨百花尽，榕叶满庭莺乱啼。"
"至今记得，在饭颗山上遇到老朋友杜甫，头上戴着竹笠日头刚好是中午。","饭颗山头逢杜甫，顶戴笠子日卓午。"
"请问老兄自从分别以后为何如此消瘦？恐怕都因为这一段岁月里作诗太费辛苦。","借问别来太瘦生，总为从前作诗苦。"
"世上的事依托隐藏不定，尘世的事拉开缠绕没有停止过。","世途倚伏都无定，尘网牵缠卒未休。"
"祸福轮回像车论一样，荣光枯萎反来覆去像手持钩。","祸福回还车轮毂，荣枯反覆手藏钩。"
"龟灵占卜要将龟开膛破肚，马失前蹄不必忧虑。","龟灵未免刳肠患，马失应无折足忧。"
"如不信时请看下棋的人，输赢还得等到局终才分晓。","不信请看弈棋者，输赢须待局终头。"
"天边霞光映入水中，一时水中映出的天际一片通红。","天际霞光入水中，水中天际一时红。"
"只要在泰山日观峰一直等到三更以后，就会看到第一轮红日被送上蔚蓝的天空。","直须日观三更后，首送金乌上碧空。"
"六朝的丈物荒皮杂草丛生，天高云淡千般景物古今同。","六朝文物草连空，天淡云闲今古同。"
"苍山苹柏间百鸟飞来飞去，世世代代生活水乡山寨中。","鸟去鸟来山色里，人歌人哭水声中。"
"帘幕外千家承受连绵秋丙，日落西山传来悠扬的笛声。","深秋帘幕千家雨，落日楼台一笛风。"
"内心里怅惘无缘见到范众，只好掠过树木凝望太湖东。","惆怅无日见范蠡，参差烟树五湖东。"
"月光由宫门移到宫树梢，媚眼只看那宿鹭的窝巢。","禁门宫树月痕过，媚眼惟看宿鹭窠。"
"在灯影旁拔下头上玉钗，挑开灯焰救出扑火飞蛾。","斜拔玉钗灯影畔，剔开红焰救飞蛾。"
"隔着门墙外面的杨柳树，那柔弱细长的枝条，就好像那十五岁少女纤柔美好的细腰。古代女子十五岁正当青春，体态最为婀娜多姿，妩媚而动人。","隔户杨柳弱袅袅，恰似十五女儿腰。"
"是谁说她早晨的时候不称意，不舒展自己的身姿呢？原来是被狂风折断了枝条。","谓谁朝来不作意，狂风挽断最长条。"
"江上的燕子都明白我的茅屋过于低小，因此常常飞到这里筑巢。","手种桃李非无主，野老墙低还似家。"
"燕子衔来筑巢的泥弄脏了我的琴和书，它们还不停地追逐飞虫碰着了人。","恰似春风相欺得，夜来吹折数枝花。"
"二月已经过去三月来到，渐渐老去的人遇到春天还能有几次？","熟知茅斋绝低小，江上燕子故来频。"
"不要想身外无数的事情，先饮尽眼前的不多的杯中物。","衔泥点污琴书内，更接飞虫打着人。"
"都说春江景物芳妍，而三春欲尽，怎么会不感到伤感呢？拄着拐杖漫步江头，站在芳洲上。","二月已破三月来，渐老逢春能几回。"
"只看见柳絮如颠似狂，肆无忌惮地随风飞舞，轻薄不自重的桃花追逐流水而去。","莫思身外无穷事，且尽生前有限杯。"
"飘落在小路上的杨花碎片，就像铺开的白毡子，点缀在溪上的嫩荷，像青铜钱似的一个叠着一个。","肠断江春欲尽头，杖藜徐步立芳洲。"
"全身羽毛雪白，又如穿着一个雪白的绒衣，衬托着青玉般的长嘴，漂亮极了。 它们成群结队的在溪中捕食鱼虾，洁白的身影在清澈的水中荡漾。","雪衣雪发青玉觜，群捕鱼儿溪影中。"
"一但惊动了它们就会远走高飞的离去，在青山映存下，姿态是那么的优美，正像那满树的梨花在晚风中飞荡！","惊飞远映碧山去，一树梨花落晚风。"
"破额山前，美玉一般碧绿的江水向东而流；诗人啊，你竟像在遥远的地方站立船头。","破额山前碧玉流，骚人遥驻木兰舟。"
"你的赠诗有如春风拂面，引起了我无限的深情思念；我多想采束苹花相送于你，却因官事缠身不得自由。","春风无限潇湘意，欲采蘋花不自由。"
"安史之乱的战火使柏学士失去了官职，昔日常参议朝政，直言相谏的他，将茅屋搭建在险峻的碧山之中，隐居于此。","碧山学士焚银鱼，白马却走深岩居。"
"但他仍象汉代文学家东方朔一样的刻苦读书，虽然他年少，但已学业有成。","古人己用三冬足，年少今开万卷余。"
"观茅屋户外，那祥云如车盖一样密密地聚集，秋水顺着道路，如大水决渠一样地湍急流去。","晴云满户团倾盖，秋水浮阶溜决渠。"
"自古以来荣华富贵必定从勤苦中得到，有识之男应当如柏学士一样去博览群书，以求功名。","富贵必从勤苦得，男儿须读五车书。"
"翠绿色的栏杆外绣帘儿低垂，猩红的屏风上画着草木花卉。","碧阑干外绣帘垂，猩血屏风画折枝。"
"龙须草织成的席子铺上锦褥，天气已凉却还未到寒冷时候。","八尺龙须方锦褥，已凉天气未寒时。"
"天上仙家的碧桃树沾染着雨露种下，太阳边的红杏倚靠着云彩而栽。","天上碧桃和露种，日边红杏倚云栽。"
"我这朵芙蓉长在萧瑟的秋天的江边，但不抱怨春风为何不吹来让我这朵花开一开。","芙蓉生在秋江上，不向东风怨未开。"
"离开家乡后客宿在并州这个地方已经有十年，我回归的心日日夜夜在思念着故乡咸阳。","客舍并州已十霜，归心日夜忆咸阳。"
"当初为了博取功名图谋出路，千里迢迢渡过桑乾河，现在并州已经成了我的第二家乡。","无端更渡桑干水，却望并州是故乡。"
"鹦鹉曾经来到吴江的岸边，江中的小洲传着鹦鹉的美名。","鹦鹉来过吴江水，江上洲传鹦鹉名。"
"鹦鹉已向西而飞回到陇山，鹦鹉洲上花香四溢草木青青。","鹦鹉西飞陇山去，芳洲之树何青青。"
"春风和暖烟云缭绕飘来阵阵兰香，两岸桃花落入江中形成层层锦浪。","烟开兰叶香风暖，岸夹桃花锦浪生。"
"被迁谪的旅人此时只有徒然远望，长洲上孤月朗照究竟是为谁而明？","迁客此时徒极目，长洲孤月向谁明。"
"永王在至德三载三月出师东巡，天子宣他遥分龙虎之旗委以重任。","永王正月东出师，天子遥分龙虎旗。"
"永王的楼船听过之处，波涛汹涌的长江和汉水，顿时变得像雁鹜一样的风平浪静。","楼船一举风波静，江汉翻为燕鹜池。"
"北方的胡虏在三川一带纷乱如麻，中原地区的人民争相南奔避难，似晋朝的永嘉之难。","三川北虏乱如麻，四海南奔似永嘉。"
"如果起用东山谢安石来辅佐平叛，一定能为君在谈笑中扫靖胡沙。","但用东山谢安石，为君谈笑净胡沙。"
"鼓声如雷晒杂之声喧动了武昌，旌旗如云呼啦啦地过了寻阳。","雷鼓嘈嘈喧武昌，云旗猎猎过寻阳。"
"所过之处秋毫无犯，三吴之地的人民都踊跃欢迎，呈现出一派春光明媚的祥瑞气氛。","秋毫不犯三吴悦，春日遥看五色光。"
"钟山龙盘，石城虎踞，金陵果然是帝王之州，如今帝子永王来访金凌之旧迹。","龙盘虎踞帝王州，帝子金陵访故丘。"
"春风吹暖了旧苑中的昭阳宫殿，明月高高地照耀着鳷鹊楼。","春风试暖昭阳殿，明月还过鳷鹊楼。"
"太上皇和皇上在外巡游尚未回到首都长安，诸先帝陵寝松柏蒙受胡尘而使人悲哀。","二帝巡游俱未回，五陵松柏使人哀。"
"各路诸侯都不来救河南之地，欣喜的是贤王却率领兵马远道前来勤王。","诸侯不救河南地，更喜贤王远道来。"
"丹阳的北固山就是古来的吴关，江边的楼台隐映于云水之间，美如画图。","丹阳北固是吴关，画出楼台云水间。"
"如今胡虏的战火已燃及沧海，永王大军东巡的旌旗在大江两岸围绕，飘扬于碧山之间。","千岩烽火连沧海，两岸旌旗绕碧山。"
"永王大军出巡三江，按兵五湖，楼船出征跨海行次扬州。","王出三江按五湖，楼船跨海次扬都。"
"战舰森森地站满了彪虎之士，战船满载着征战的良马。","战舰森森罗虎士，征帆一一引龙驹。"
"长风吹着船帆，其势一往无前，军威所到之处海动山倾，誓摧胡虏。","长风挂席势难回，海动山倾古月摧。"
"君看永王率兵浮江而下，多么像当年晋朝的龙骧将军出峡伐吴呀！","君看帝子浮江日，何似龙骧出峡来。"
"秦始皇想浮海却造桥不成，汉武帝在寻阳射蛟也是空忙一场。","祖龙浮海不成桥，汉武寻阳空射蛟。"
"我家贤王的楼舰是为平叛而来，其举可轻秦汉，最似太宗文皇帝渡海伐辽。","我王楼舰轻秦汉，却似文皇欲渡辽。"
"先在云梦开津大都督府，再在益陵取钟山做王苑中的小山。","帝宠贤王入楚关，扫清江汉始应还。"
"皇帝宠命贤王以重任入楚关，扫清江汉地区就凯旋。","初从云梦开朱邸，更取金陵作小山。"
"试借我君主所赐的玉马鞭一用，我坐在琼筵之上为君指挥平叛。","试借君王玉马鞭，指挥戎虏坐琼筵。"
"南风所向，将胡尘一日而扫静，然后再西入长安，胜利归朝，朝拜天子。","南风一扫胡尘静，西入长安到日边。"
"扶桑在渺茫的大海那边，而您的家还在更远的地方。","扶桑已在渺茫中，家在扶桑东更东。"
"这次回日本，谁与您共到呢？但愿明月陪伴您，一帆风顺地回到您的家！","此去与师谁共到，一船明月一帆风。"
"天上的银河夜里还在潺潺，飘荡着闪闪群星，银河两岸的流云们，调皮地模仿着水声叮咚。","天河夜转漂回星，银浦流云学水声。"
"月宫金色桂花树，从来就是花不落绽放飘香，仙女轻盈采桂花，纤手娴熟歌声宛转响佩缨。","玉宫桂树花未落，仙妾采香垂佩缨。"
"天宫的弄玉，卷起宝帘打开玉窗，又一个明媚的拂晓，窗前梧桐树永远枝繁叶茂，带他们夫妻飞天的小青凤，还是没长大依然那么娇小， 神仙夫妻当然永远年轻红颜难老。","秦妃卷帘北窗晓，窗前植桐青凤小。"
"天上王子乔又吹起玉笙如凤鸣，笙管长长，真美真好，他悠然微笑在云烟里，吆喝着龙耕地，种下万顷仙草。","王子吹笙鹅管长，呼龙耕烟种瑶草。"
"剪一条粉霞做成红绶带装饰着天女们的藕丝仙裙，笑语喧哗她们飞到南海青洲采仙草，又来赏早春。","粉霞红绶藕丝裙，青洲步拾兰苕春。"
"快看呀东边，羲和驾着天马，车里载着太阳又奔来了，焰火纷纷，人间，石山下的海水又一次退去变成陆地，飞起灰尘。天上一天就是人间百年，让我，怎能不伤怀摧心。","东指羲和能走马，海尘新生石山下。"
"天山下了一场大雪，从青海湖刮来的风更添寒冷。行军途中，战士吹起笛曲《行路难》。","天山雪后海风寒，横笛偏吹行路难。"
"听到这悲伤的别离曲，驻守边关的三十万将士，都抬起头来望着东升的月亮。","碛里征人三十万，一时回首月中看。"
"黑姓蕃王身穿貂鼠皮袭，酒醉起舞得来彩缎锦绸。","黑姓蕃王貂鼠裘，葡萄宫锦醉缠头。"
"关西老将惯于辛苦征战，年已老大仍然转战不休！","关西老将能苦战，七十行兵仍未休。"
"小男孩准备鱼饵，妻子搓丝准备做钓鱼线，丈夫倒裹头巾，身旁满满一壶浊酒飘出浓浓的香气。","小男供饵妇搓丝，溢榼香醪倒接罹。"
"太阳升起两竿高了，正是鱼儿觅食的时候，咬钩的鱼一条接着一条。一家人欢欢喜喜在南池继续垂钓。","日出两竿鱼正食，一家欢笑在南池。"
"在夜深灯火阑珊、霖雨缠绵时分，唐明皇由蜀中返回长安，安史之乱都过去了，但唐明皇情况就像乐工张徽弹奏的《雨霖铃曲》一样，还是没有什么变化，依旧沉湎声色。","雨霖铃夜却归秦，犹见张徽一曲新。"
"张徽述说唐明皇弹曲垂泪思念杨贵妃，但是明月下南宫深处还是一片寂静，唐明皇黯然落寞。","长说上皇和泪教，月明南内更无人。"
"井畔梧桐在秋夜的风中抖动，只有蜡烛残光照着孤单的我。","清秋幕府井梧寒，独宿江城蜡炬残。"
"长夜里号角声悲壮似在自语，天空中的月色虽好谁与我共赏。","永夜角声悲自语，中天月色好谁看。"
"光阴荏苒哪里寻觅亲人音信？关塞一片萧条寻找归路艰难。","风尘荏苒音书绝，关塞萧条行路难。"
"我已忍受十年的飘零生活，把家安在这里不过勉强栖身。","已忍伶俜十年事，强移栖息一枝安。"
"洛阳有一位女子住在我家对门，正当十五六的芳年容颜非常美丽。","洛阳女儿对门居，才可颜容十五余。"
"她的丈夫骑一匹青白相间的骏马，马具镶嵌着珍贵的美玉。她的婢女捧上黄金的盘子，里面盛着烹制精细的鲤鱼。","良人玉勒乘骢马，侍女金盘脍鲤鱼。"
"她家彩绘朱漆的楼阁一幢幢遥遥相望，红桃绿柳在廊檐下排列成行。","画阁朱楼尽相望，红桃绿柳垂檐向。"
"她乘坐的车子是用七种香木做成，绫罗的帷幔装在车上。仆从们举着羽毛的扇子，把她迎回绣着九花图案的彩帐。","罗帷送上七香车，宝扇迎归九华帐。"
"她的丈夫青春年少正得志，骄奢更胜过石季伦。","狂夫富贵在青春，意气骄奢剧季伦。"
"他亲自教授心爱的姬妾学习舞蹈，名贵的珊瑚树随随便便就送给别人。","自怜碧玉亲教舞，不惜珊瑚持与人。"
"他们彻夜寻欢作乐，窗上现出曙光才熄去灯火，灯花的碎屑片片落在雕镂的窗棱。","春窗曙灭九微火，九微片片飞花琐。"
"她成天嬉戏游玩，竟没有温习歌曲的空暇，打扮得整整齐齐，只是熏着香成天闲话。","戏罢曾无理曲时，妆成祗是熏香坐。"
"相识的全是城中的豪门大户，日夜来往的都是些贵戚之家。","城中相识尽繁华，日夜经过赵李家。"
"有谁怜惜貌美如玉的越女，身处贫贱，只好在江头独自洗纱。","谁怜越女颜如玉，贫贱江头自浣纱。"
"天空广阔无边鸟儿消失天际，古时的遗迹消失在这荒废的乐游原里。","长空澹澹孤鸟没，万古销沉向此中。"
"想要报效祖国建功立业，那五陵的数目都在那萧瑟而秋风中。","看取汉家何事业，五陵无树起秋风。"
"燕语呢喃声声，好似在伤感旧日的朝庭之春，官花寂寞开放，凋落后旋即化作泥尘。","燕语如伤旧国春，宫花一落已成尘。"
"自从国亡之后，关闭了这风光绮丽的官庭，燕子啊，几个年度飞来都见不到人。","自从一闭风光后，几度飞来不见人。"
"吹笙的声音如隔着彩霞从天而来，不知墙外究竟是哪一家。","凤吹声如隔彩霞，不知墙外是谁家。"
